iso_code,continent,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population
OWID_UMC,,Upper middle income,06/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,05/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,04/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,11/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,10/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,21/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,23/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,08/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,07/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,06/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,05/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,04/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,03/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,02/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,22/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,01/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,30/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,29/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,28/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,27/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,26/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,25/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,24/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,31/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,21/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,22/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,23/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,19/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,18/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,17/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,16/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,15/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,14/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,13/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,20/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,12/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,10/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,09/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,08/05/2020,,,,,,,,,,,,2525921300
